#timestamp tx ty tz qx qy qz qw
1729604399.114223957 -0.566028953 -0.632427216 2.051199198 -0.009699361 0.992039919 0.093331054 0.083976462
1729604399.447346926 -0.590772629 -0.626947701 2.078202963 -0.025577972 0.987868905 0.103748150 0.112681545
1729604400.213618517 -0.588433564 -0.633877039 2.101331949 -0.035358511 0.985553563 0.096247576 0.134797469
1729604400.747014999 -0.575926661 -0.642995596 2.078737736 -0.020379709 0.984208226 0.087279700 0.152647018
1729604401.047300339 -0.563983858 -0.637148619 2.069674730 -0.024256632 0.982115090 0.078581490 0.169370860
1729604401.414341211 -0.570399404 -0.632975698 2.057574987 -0.015229029 0.976584673 0.096232153 0.191806734
1729604402.147574902 -0.558293998 -0.641093016 2.007009983 -0.017022924 0.979216158 0.104797050 0.172810882
1729604402.380823374 -0.539748669 -0.650624812 1.981463909 -0.011355317 0.982792914 0.096865647 0.156863973
1729604402.647632837 -0.508159280 -0.653859973 1.957559347 -0.003585620 0.986322224 0.080365010 0.143864706
1729604402.981352091 -0.476924807 -0.652633190 1.930547476 0.014270788 0.988150835 0.077069134 0.131964475
1729604403.648656607 -0.455365717 -0.659698606 1.907873869 -0.001785039 0.994848788 0.059541591 0.082021706
1729604404.415280819 -0.438309938 -0.674299479 1.870711923 -0.008635540 0.996900618 0.050591316 0.059625410
1729604405.115265846 -0.460857362 -0.739746213 1.837068558 0.020460054 0.997831881 0.027746776 0.056063306
1729604405.481895924 -0.446571410 -0.789964199 1.815101743 0.019193634 0.996515632 0.037300710 0.072089531
1729604406.081891775 -0.426923662 -0.803731203 1.760645509 0.005024157 0.996875525 0.069716074 0.036791287
1729604406.815190077 -0.400289923 -0.774604082 1.719656229 -0.004630243 0.995098114 0.097231962 0.017445501
1729604408.149423122 -0.525465131 -0.771590114 1.765897155 -0.013664201 0.999307394 0.034378652 0.004015484
1729604408.616655827 -0.662290394 -0.771177173 1.761179686 -0.034040205 0.997594714 0.028897794 0.053018536
1729604409.116770029 -0.752240479 -0.769596100 1.734256625 -0.031399541 0.996849179 0.053059313 0.049904741
1729604409.516965151 -0.788133264 -0.770121217 1.670556426 0.033656415 -0.997777998 -0.054686021 0.017770924
1729604410.019023895 -0.768625617 -0.766194463 1.612003326 0.009913683 -0.996427476 -0.043699563 0.071584977
1729604410.654510736 -0.768042564 -0.789006770 1.594210386 -0.009095335 -0.995425403 -0.044877604 0.083854660
1729604411.054602385 -0.763348937 -0.805125833 1.556059480 -0.017629134 -0.991385341 -0.042548243 0.122613177
1729604411.454674721 -0.732724786 -0.840174973 1.524741173 -0.014089884 -0.984355509 -0.033333726 0.172437415
1729604411.855264425 -0.620616436 -0.843100309 1.526978970 -0.047320403 -0.969486237 -0.022716902 0.239460215
1729604412.322749138 -0.539649725 -0.850600421 1.477682114 -0.043857794 -0.957533956 -0.040876966 0.282018244
1729604412.889922142 -0.523187280 -0.860170066 1.352454782 -0.050363269 -0.943234265 -0.052353092 0.324086130
1729604413.056667328 -0.513007164 -0.856328845 1.336911440 -0.034429818 -0.937349200 -0.044676203 0.343795121
1729604413.423501015 -0.432827115 -0.864377618 1.319855809 -0.046986416 -0.925721943 -0.059392754 0.370545059
1729604413.857053757 -0.396007776 -0.840012729 1.317490339 -0.040565599 -0.916675508 -0.063059822 0.392535269
1729604415.226142406 -0.584561825 -0.849891663 1.339526057 0.000595715 -0.936030149 -0.047124520 0.348749936
1729604415.593651772 -0.568060637 -0.832480252 1.339210033 0.015438081 -0.947679043 -0.056412145 0.313821435
1729604418.963518143 -0.431927919 -0.831378281 1.466071606 0.008255221 -0.964415312 -0.054237992 0.258637220
1729604419.663494349 -0.404090762 -0.810341358 1.557801127 0.003990677 -0.987501323 -0.061684217 0.144983634
1729604420.230153561 -0.459613085 -0.800397277 1.639440894 0.008584907 -0.997257710 -0.070815474 0.019711379
1729604421.330120564 -0.649012089 -0.764457166 1.649635077 -0.045515172 0.994093120 0.080690220 0.056536525
1729604421.796897888 -0.766119361 -0.767844677 1.532509565 -0.056159377 0.989955366 0.070220724 0.109103329
1729604422.230408192 -0.916989923 -0.754622221 1.413461447 -0.058553435 0.978399336 0.064233311 0.187564299
1729604422.463828802 -0.952085018 -0.731433272 1.351930857 -0.084485501 0.967443764 0.069257200 0.228294328
1729604422.897190332 -0.970296741 -0.744084120 1.255110502 -0.059045054 0.958080947 0.038855813 0.277641416
1729604423.297153234 -0.999711871 -0.755097032 1.194952965 -0.058321521 0.960113049 0.045974944 0.269569725
1729604424.998034477 -0.972407639 -0.707471967 1.143287778 -0.057904746 0.963581026 0.061723482 0.253670990
1729604425.465841055 -1.004485846 -0.708363295 1.117678165 -0.055634946 0.968846917 0.050267901 0.236037314
1729604425.899790764 -1.037079096 -0.699835718 1.087164044 -0.035471767 0.963788331 0.076634228 0.252944767
1729604426.266893864 -1.067986965 -0.708793342 1.064248800 -0.033009470 0.953544855 0.075773954 0.289691120
1729604426.634098291 -1.125744224 -0.699056268 1.048653364 -0.054283921 0.946705103 0.077747583 0.307828039
1729604427.001638889 -1.162051439 -0.669944525 1.045472026 -0.056502555 0.956046283 0.103079110 0.268621862
1729604427.402631760 -1.168368816 -0.660121322 1.062055707 -0.039461970 0.973838270 0.105050139 0.197601274
1729604427.936296225 -1.176518202 -0.620626867 1.110706449 -0.050746884 0.981454909 0.111825876 0.147193983
1729604428.469434023 -1.198250771 -0.583718836 1.112877727 -0.034017354 0.983867109 0.135048062 0.112295888
1729604428.936846495 -1.257998109 -0.583972096 1.100542068 -0.010684075 0.989893258 0.133710653 0.046029504
1729604429.504785776 -1.293942809 -0.568101406 1.101883173 0.016540116 -0.992808878 -0.106767230 0.051552746
